"","label","mean","sd","sdm","k","bias","postype1"
"1","nnmax_240_20$residual_bias",0.208327575014081,0.784984117538328,0.912594829746363,21.104955156494,1.92389437378026,0.484275227594486
"2","nnmax_240_5$residual_bias",0.120094229469649,0.784984117538328,0.771601807554973,21.104955156494,1.57261397883074,0.33044219361924
"3","nnmax_80_100$residual_bias",0.42527996399918,0.886350201741622,1.00028996637505,15.520500668952,2.16617040500364,0.578937501367091
"4","nnmax_80_20$residual_bias",0.191235286754459,0.886350201741622,0.659762908808951,15.520500668952,1.34310247496818,0.259908821985742
"5","nnmax_80_5$residual_bias",0.0933094692387868,0.886350201741622,0.533326003123119,15.520500668952,1.02543208484201,0.158723085878095
"6","nnmax_240_20$constant_bias",0.208327575014081,0.784984117538328,0.74858481582476,14.1323072945386,1.48001158923115,0.294791782033787
"7","nnmax_240_5$constant_bias",0.120094229469649,0.784984117538328,0.74858481582476,14.1323072945386,1.39177824368932,0.261707540326378
"8","nnmax_80_100$constant_bias",0.42527996399918,0.886350201741622,0.481279361772394,11.6839969112605,1.20137910886785,0.207141906333159
"9","nnmax_80_20$constant_bias",0.191235286754459,0.886350201741622,0.481279361772394,11.6839969112605,0.967334431346722,0.142826781224642
"10","nnmax_80_5$constant_bias",0.0933094692387868,0.886350201741622,0.481279361772394,11.6839969112605,0.86940861324776,0.12044211878156
"11","nnmax_240_20$no_bias",5.62097335805908e-15,0.784984117538328,0.74858481582476,14.1323072945386,1.27168401422382,0.220031439556479
"12","nnmax_240_5$no_bias",5.62097335805908e-15,0.784984117538328,0.74858481582476,14.1323072945386,1.27168401422382,0.220031439556479
"13","nnmax_80_100$no_bias",-1.62365956908286e-15,0.886350201741622,0.481279361772394,11.6839969112605,0.77609918998663,0.10153488148816
"14","nnmax_80_20$no_bias",-1.62365956908286e-15,0.886350201741622,0.481279361772394,11.6839969112605,0.77609918998663,0.10153488148816
"15","nnmax_80_5$no_bias",-1.62365956908286e-15,0.886350201741622,0.481279361772394,11.6839969112605,0.77609918998663,0.10153488148816
